date,desc,text
08-May-2026 15:37:05,Investor Presentation,Hyundai Motor India Limited has informed the Exchange about Investor Presentation
08-May-2026 15:28:34,Press Release,"Hyundai Motor India Limited has informed the Exchange regarding a press release dated May 08, 2026, titled ""Hyundai Motor India Limited Q4 & FY26 Financial Results""."
08-May-2026 15:24:31,Dividend,"Hyundai Motor India Limited has informed the Exchange that Board of Directors at its meeting held on May 08, 2026, declared Select Dividend of Rs. 21 per equity share."
08-May-2026 15:20:38,Outcome of Board Meeting,"Hyundai Motor India Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
04-May-2026 16:52:01,Analysts/Institutional Investor Meet/Con. Call Updates,Hyundai Motor India Limited has informed the Exchange about Schedule of meet
01-May-2026 09:56:07,Press Release,"Hyundai Motor India Limited has informed the Exchange regarding a press release dated May 01, 2026, titled ""Hyundai Motor India Limited Achieves Highest-ever Domestic Sales for any April clocking 51,9"
22-Apr-2026 11:55:35,General Updates,"Disclosure under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 ( SEBI LODR )"
21-Apr-2026 13:43:28,General Updates,"Intimation under Regulation 30A of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 ( SEBI Listing Regulations )"
20-Apr-2026 18:48:57,Press Release,"Hyundai Motor India Limited has informed the Exchange regarding a press release dated April 20, 2026, titled ""Hyundai Motor and TVS Motor Formalize Partnership to Drive Electric Three-Wheeler Commerci"
18-Apr-2026 13:58:44,Copy of Newspaper Publication,Hyundai Motor India Limited has informed the Exchange about Copy of Newspaper Publication
17-Apr-2026 14:31:09,General Updates,"Hyundai Motor India Limited has informed the Exchange about Intimation of receipt of approval for re-classification of Hyundai Motor Investment, INC from  Promoter & Promoter Group  to  Public  Catego"
08-Apr-2026 17:11:00,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Hyundai Motor India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
08-Apr-2026 10:09:29,General Updates,Hyundai Motor India Limited has informed the Exchange about Disclosure under SEBI LODR
02-Apr-2026 20:30:58,Shareholders meeting,"Hyundai Motor India Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results."
01-Apr-2026 11:15:54,Press Release,"Hyundai Motor India Limited has informed the Exchange regarding a press release dated April 01, 2026, titled ""Press Release""."
27-Mar-2026 17:01:30,Trading Window,"Hyundai Motor India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
17-Mar-2026 15:36:40,Analysts/Institutional Investor Meet/Con. Call Updates,Hyundai Motor India Limited has informed the Exchange about Schedule of meet
10-Mar-2026 16:02:53,Analysts/Institutional Investor Meet/Con. Call Updates,Hyundai Motor India Limited has informed the Exchange about Schedule of meet
09-Mar-2026 11:22:53,Press Release,"Hyundai Motor India Limited has informed the Exchange regarding a press release dated March 09, 2026, titled ""Press Release""."
03-Mar-2026 12:34:41,Copy of Newspaper Publication,Hyundai Motor India Limited has informed the Exchange about Copy of Newspaper Publication
02-Mar-2026 13:49:59,Shareholders meeting,Hyundai Motor India Limited has informed the Exchange regarding Notice of Postal Ballot
01-Mar-2026 11:00:50,Press Release,"Hyundai Motor India Limited has informed the Exchange regarding a press release dated March 01, 2026, titled ""Press Release""."
16-Feb-2026 09:01:55,Change in Management,Hyundai Motor India Limited has informed the Exchange about change in Management
06-Feb-2026 20:52:26,Analysts/Institutional Investor Meet/Con. Call Updates,Hyundai Motor India Limited has informed the Exchange about Transcript
06-Feb-2026 16:39:20,General Updates,Hyundai Motor India Limited has inform the Exchange about submission of application for reclassification from Promoter & Promoter Group Category to Public Category
04-Feb-2026 16:28:50,Analysts/Institutional Investor Meet/Con. Call Updates,Hyundai Motor India Limited has informed the Exchange about Schedule of meet
02-Feb-2026 19:17:02,Analysts/Institutional Investor Meet/Con. Call Updates,Hyundai Motor India Limited has informed the Exchange about Link of Recording
02-Feb-2026 15:01:50,Updates,"Hyundai Motor India Limited has informed the Exchange regarding 'Disclosure under Regulation 30(5) of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015'."
02-Feb-2026 14:53:06,Investor Presentation,Hyundai Motor India Limited has informed the Exchange about Investor Presentation
02-Feb-2026 14:50:21,Press Release,"Hyundai Motor India Limited has informed the Exchange regarding a press release dated February 02, 2026, titled ""Press Release""."
02-Feb-2026 14:44:48,Outcome of Board Meeting,"Hyundai Motor India Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
01-Feb-2026 09:34:29,Press Release,"Hyundai Motor India Limited has informed the Exchange regarding a press release dated February 01, 2026, titled ""Press Release""."
28-Jan-2026 16:09:57,Analysts/Institutional Investor Meet/Con. Call Updates,Hyundai Motor India Limited has informed the Exchange about Schedule of meet
28-Jan-2026 10:57:41,Analysts/Institutional Investor Meet/Con. Call Updates,Hyundai Motor India Limited has informed the Exchange about Schedule of meet
19-Jan-2026 16:45:33,General Updates,Hyundai Motor India Limited has informed the Exchange about Receipt of request for reclassification form  Promoter Group  category to  Public  category
09-Jan-2026 17:12:47,Updates,Hyundai Motor India Limited has informed the Exchange regarding 'ESG rating by NSE Sustainability Ratings and Analytics Limited'.
07-Jan-2026 10:37:17,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Hyundai Motor India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
01-Jan-2026 15:39:08,Press Release,"Hyundai Motor India Limited has informed the Exchange regarding a press release dated January 01, 2026, titled ""Press Release""."
01-Jan-2026 10:32:03,Change in Management,Hyundai Motor India Limited has informed the Exchange about change in Management
01-Jan-2026 09:33:52,Press Release,"Hyundai Motor India Limited has informed the Exchange regarding a press release dated January 01, 2026, titled ""Tarun Garg Takes Charge as the First Indian MD & CEO of Hyundai Motor India Limited""."
31-Dec-2025 17:01:03,Change in Management,Hyundai Motor India Limited has informed the Exchange about change in Management
31-Dec-2025 14:39:50,Updates,Hyundai Motor India Limited has informed the Exchange regarding 'Price Increase Announcement'.
30-Dec-2025 15:14:53,Press Release,"Hyundai Motor India Limited has informed the Exchange regarding a press release dated December 30, 2025, titled ""Press Release- Launch of Hyundai Prime Taxi Range""."
29-Dec-2025 09:52:31,Trading Window,"Hyundai Motor India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
15-Dec-2025 16:28:42,Shareholders meeting,Hyundai Motor India Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot
04-Dec-2025 15:07:35,Analysts/Institutional Investor Meet/Con. Call Updates,Hyundai Motor India Limited has informed the Exchange about Schedule of meet
04-Dec-2025 14:54:18,Analysts/Institutional Investor Meet/Con. Call Updates,Hyundai Motor India Limited has informed the Exchange about Schedule of meet
01-Dec-2025 17:22:22,Analysts/Institutional Investor Meet/Con. Call Updates,Hyundai Motor India Limited has informed the Exchange about Schedule of meet
01-Dec-2025 14:03:17,Press Release,"Hyundai Motor India Limited has informed the Exchange regarding a press release dated December 01, 2025, titled ""Press Release""."
24-Nov-2025 16:41:09,Analysts/Institutional Investor Meet/Con. Call Updates,Hyundai Motor India Limited has informed the Exchange about Schedule of meet
