date,desc,text
10-Jul-2026 15:20:06,Record Date,Jubilant FoodWorks Limited has informed the Exchange that Record date for the purpose of payment of Dividend is 17-Jul-2026.
06-Jul-2026 21:08:31,Updates,Jubilant FoodWorks Limited has informed the Exchange regarding Q1FY27 Business Update.
25-Jun-2026 18:30:25,Trading Window,"Jubilant Foodworks Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
24-Jun-2026 21:30:52,General Updates,Jubilant FoodWorks Limited has informed the Exchange about disclosure under Regulation 30 of the SEBI Listing Regulations.
15-Jun-2026 19:14:03,Acquisition,Jubilant Foodworks Limited has informed the Exchange about investment in wholly owned subsidiary company
03-Jun-2026 19:16:23,Analysts/Institutional Investor Meet/Con. Call Updates,Jubilant Foodworks Limited has informed the Exchange about Schedule of meet
27-May-2026 13:00:48,Analysts/Institutional Investor Meet/Con. Call Updates,Jubilant FoodWorks Limited has informed the Exchange about Transcript of Conference Call for Analysts and Investors for Q4FY26 and FY26 results.
26-May-2026 16:19:04,Analysts/Institutional Investor Meet/Con. Call Updates,Jubilant Foodworks Limited has informed the Exchange about Schedule of Institutional Investor Conference under Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disc
22-May-2026 21:35:30,General Updates,"Jubilant FoodWorks Limited has informed the Exchange about  Submission of communication email sent to shareholders whose dividend(s) remains unpaid pursuant to Second 100 days campaign -""Saksham Nives"
22-May-2026 09:36:09,Action(s) taken or orders passed,Jubilant Foodworks Limited has informed the Exchange about Action(s) taken or orders passed
22-May-2026 09:21:28,Action(s) taken or orders passed,"Jubilant FoodWorks Limited has informed the Exchange about Disclosure under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"
21-May-2026 12:59:20,Copy of Newspaper Publication,Jubilant FoodWorks Limited has informed the Exchange about Copy of Newspaper Publication
20-May-2026 19:07:35,Analysts/Institutional Investor Meet/Con. Call Updates,Jubilant FoodWorks Limited has informed the Exchange about Link of Recording for Q4FY26 & FY26 results
20-May-2026 16:10:38,Investor Presentation,Jubilant Foodworks Limited has informed the Exchange about Investor Presentation
20-May-2026 16:05:55,General Updates,Jubilant FoodWorks Limited has informed the Exchange about Letter to Shareholders on Financial Results for Q4 FY26 and FY26
20-May-2026 16:00:56,Dividend,"Jubilant Foodworks Limited has informed the Exchange that Board of Directors at its meeting held on May 20, 2026, recommended Dividend of Rs. 1.2 per equity share."
20-May-2026 15:55:46,Outcome of Board Meeting,"Jubilant Foodworks Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
20-May-2026 15:11:43,Updates,Jubilant Foodworks Limited has informed the Exchange regarding 'Jubilant FoodWorks Limited has informed the Exchange about Grant of Options under JFL Employees Stock Option Schemes'.
15-May-2026 15:06:23,Copy of Newspaper Publication,Jubilant FoodWorks Limited has informed the Exchange about Submission of Copies of newspaper advertisement regarding another special window that has been opened for re-lodgement of transfer deeds of p
07-May-2026 17:22:13,Analysts/Institutional Investor Meet/Con. Call Updates,Jubilant Foodworks Limited has informed the Exchange about Schedule of meet
29-Apr-2026 17:44:30,Copy of Newspaper Publication,Jubilant FoodWorks Limited has informed the Exchange about Submission of copies of Newspaper Advertisement relating to Notice to Shareholders- Second 100 days Campaign    Saksham Niveshak'
21-Apr-2026 12:32:10,Disclosure under SEBI Takeover Regulations, Jubilant Consumer Private Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeov
08-Apr-2026 07:49:32,Rumour Verification - Regulation 30(11),"Jubilant FoodWorks Limited has informed the Exchange about Clarification on news article published in mainstream and other media, and material price movement observed in Company s stock price"
06-Apr-2026 19:36:51,Updates,Jubilant Foodworks Limited has informed the Exchange regarding 'Q4FY26 and FY26 Business Update'.
01-Apr-2026 08:47:35,"Arrangements for strategic, technical, manufacturing, or marketing tie up",Jubilant FoodWorks Limited has informed the Exchange about renewal of Master Franchise Agreement with Domino s Pizza International Franchising Inc.
30-Mar-2026 16:57:32,Closure of operations,Jubilant FoodWorks Limited has informed the Exchange about Non-renewal of Multiple Unit Development Franchise Agreement (MUDFA) for Dunkin  brand
30-Mar-2026 16:55:29,Outcome of Board Meeting,Jubilant FoodWorks Limited has informed the Exchange regarding Non-renewal of Multiple Unit Development Franchise Agreement (MUDFA) for Dunkin  brand
28-Mar-2026 16:45:50,Updates,Jubilant Foodworks Limited has informed the Exchange regarding 'Business Update'.
27-Mar-2026 17:25:55,Action(s) taken or orders passed,"Jubilant FoodWorks Limited has informed the Exchange about Disclosure under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015."
25-Mar-2026 15:20:43,Trading Window,"Jubilant Foodworks Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
24-Mar-2026 17:33:13,Copy of Newspaper Publication,Jubilant Foodworks Limited has informed the Exchange about Copy of Newspaper Publication
23-Mar-2026 18:23:42,Change in Management,Jubilant FoodWorks Limited has informed the Exchange about Change in Senior Management
21-Mar-2026 10:19:09,Change in Management,Jubilant FoodWorks Limited has informed the Exchange about change in Senior Management
14-Mar-2026 18:37:32,Action(s) taken or orders passed,"Jubilant FoodWorks Limited has informed the Exchange about Disclosure under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 ( Listing Regulations )"
11-Mar-2026 17:30:03,Commencement of commercial production/operations,"Jubilant FoodWorks Limited has informed the Exchange about Commencement of Commercial Production from Commissary at Raigad, Maharashtra"
02-Mar-2026 19:19:21,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,"Jubilant Foodworks Limited has informed the Exchange about Disclosure under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"
23-Feb-2026 21:20:57,Investor Presentation,Jubilant Foodworks Limited has informed the Exchange about Investor Presentation
20-Feb-2026 17:52:49,Sale or disposal,"Jubilant FoodWorks Limited has informed the Exchange about Update on sale of stake in Hashtag Loyalty Private Ltd., an associate company"
19-Feb-2026 18:51:42,Credit Rating,Jubilant Foodworks Limited has informed the Exchange about Credit Rating
19-Feb-2026 17:27:30,Analysts/Institutional Investor Meet/Con. Call Updates,Jubilant FoodWorks Limited has informed the Exchange about Schedule of Institutional Investor Conference
16-Feb-2026 18:36:37,Analysts/Institutional Investor Meet/Con. Call Updates,Jubilant FoodWorks Limited has informed the Exchange about Transcript of Conference Call for Q3FY26 Results.
11-Feb-2026 13:11:59,Copy of Newspaper Publication,Jubilant Foodworks Limited has informed the Exchange about Copy of Newspaper Publication
10-Feb-2026 19:26:28,Analysts/Institutional Investor Meet/Con. Call Updates,Jubilant Foodworks Limited has informed the Exchange about Link of Recording
10-Feb-2026 16:25:59,Investor Presentation,Jubilant Foodworks Limited has informed the Exchange about Investor Presentation
10-Feb-2026 16:22:44,Press Release,"Jubilant Foodworks Limited has informed the Exchange regarding a press release dated February 10, 2026, titled ""Jubilant FoodWorks Limited Reports Q3FY26 Results""."
10-Feb-2026 16:19:10,Outcome of Board Meeting,"Jubilant Foodworks Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
10-Feb-2026 14:33:55,General Updates,Jubilant FoodWorks Limited has informed the Exchange about Grant of Options under JFL Employees Stock Option Schemes
06-Feb-2026 13:51:56,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,"Jubilant FoodWorks Limited has informed the Exchange about Disclosure under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"
03-Feb-2026 16:56:13,Analysts/Institutional Investor Meet/Con. Call Updates,Jubilant Foodworks Limited has informed the Exchange about Schedule of meet
01-Feb-2026 13:40:29,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,"Jubilant FoodWorks Limited has informed the Exchange about Disclosure under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"
06-Jan-2026 19:42:23,Updates,Jubilant Foodworks Limited has informed the Exchange regarding 'Q3FY26 Business Update'.
29-Dec-2025 21:08:44,Sale or disposal,"Jubilant FoodWorks Limited has informed the Exchange about Intimation of sale of stake in Hashtag Loyalty Private Ltd., an associate company"
26-Dec-2025 21:32:42,Action(s) initiated or orders passed,"Jubilant FoodWorks Limited has informed the Exchange about Disclosure under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"
24-Dec-2025 17:29:58,Trading Window,"Jubilant Foodworks Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
15-Dec-2025 16:53:04,Credit Rating,Jubilant Foodworks Limited has informed the Exchange about Credit Rating
11-Dec-2025 15:08:57,Copy of Newspaper Publication,Jubilant Foodworks Limited has informed the Exchange about Copy of Newspaper Publication
10-Dec-2025 10:42:18,Change in Management,Jubilant FoodWorks Limited has informed the Exchange about changes in Senior Management
05-Dec-2025 18:09:52,Action(s) initiated or orders passed,Jubilant FoodWorks Limited has informed the Exchange Disclosure under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations. 2015.
01-Dec-2025 16:08:13,General Updates,Jubilant Foodworks Limited has informed the Exchange about Grant Of Options Under JFL Employees Stock Option Scheme 2025
25-Nov-2025 18:25:54,General Updates,Jubilant Foodworks Limited has informed the Exchange regarding specimen intimation sent to those shareholders whose dividend for FY 24-25 have been withheld.
19-Nov-2025 18:40:43,Analysts/Institutional Investor Meet/Con. Call Updates,Jubilant Foodworks Limited has informed the Exchange about Transcript
14-Nov-2025 16:11:18,Analysts/Institutional Investor Meet/Con. Call Updates,Jubilant Foodworks Limited has informed the Exchange about Schedule of meet
14-Nov-2025 13:37:12,Copy of Newspaper Publication,Jubilant Foodworks Limited has informed the Exchange about Copy of Newspaper Publication
13-Nov-2025 19:56:03,Analysts/Institutional Investor Meet/Con. Call Updates,Jubilant Foodworks Limited has informed the Exchange about Link of Recording for Conference Call for Q2FY26 results
13-Nov-2025 16:58:14,Change in Auditors,Jubilant Foodworks Limited has informed the Exchange regarding Change in Auditors of the company.
13-Nov-2025 16:20:37,Investor Presentation,Jubilant Foodworks Limited has informed the Exchange about Investor Presentation
13-Nov-2025 16:14:01,Outcome of Board Meeting,"Jubilant Foodworks Limited has submitted to the Exchange, the financial results for the period ended September 30, 2025."
